R606697,R853780
R112260,R456138
R780614,R673254
R696149,R322891
R665869,R341405
R570002,R728414
R855230,R191707
R537732,R486606
R982157,R284677
R675905,R679186
R609478,R756461
R736197,R998600
R673910,R395305
R541252,R119995
R540892,R879094
R202674,R554488
R771636,R841570
R928671,R716202
R948862,R539596
R301378,R804012
R259274,R603462
R915949,R913879
R125376,R721099
R494377,R173475
R764940,R221208
R276623,R292420
R739144,R327708
R168152,R659905
R243176,R937643
R236344,R127188
R653558,R645687
R783245,R305286
R622754,R328303
R434679,R310797
R496671,R453826
R186949,R746120
R156935,R611565
R443167,R888486
R560187,R913851
R112325,R773721
R903322,R772368
R190998,R441922
R596864,R803452
R673300,R658406
R540162,R380574
R943958,R173773
R891209,R836943
R412014,R698279
R770494,R944056
R972028,R268158
R303310,R385500
R239911,R757287
R782405,R352077
R500450,R946207
R118219,R171635
R423998,R220179
R166313,R228810
R926080,R129402
R525783,R323709
R899701,R133609
R456068,R473280
R957084,R849222
R557681,R991853
R174342,R442792
R837594,R895699
R750744,R504824
R299604,R293179
R739086,R606825
R180460,R866953
R763085,R253840
R611943,R903765
R348849,R694581
R612539,R182220
R814180,R606061
R826325,R707227
R219736,R947051
R944928,R961002
R452663,R512920
R707811,R850619
R590427,R504712
R452876,R920022
R325902,R645555
R654383,R742549
R388969,R893696
R861441,R683833
R586194,R867698
R643617,R999504
R810745,R103675
R837714,R801588
R931487,R584624
R584668,R709225
R923543,R999639
R370762,R457186
R880336,R973254
R588928,R785720
R196017,R540411
R903079,R190282
R750630,R694329
R608185,R803810
R847282,R614828
R730966,R683325
R739752,R165642
R376519,R138123
R534091,R607076
R590966,R741058
R291497,R959078
R151631,R968854
R438819,R459633
R387071,R687206
R969150,R378526
R809644,R230083
R121184,R791529
R947121,R154998
R652395,R858735
R951887,R919631
R967956,R206741
R334685,R534726
R807708,R322888
R884714,R173377
R676281,R835026
R675996,R322673
R987146,R562060
R449623,R137710
R709304,R521777
R294340,R393736
R243893,R423163
R351059,R914615
R360888,R800521
R325202,R775018
R642577,R180769
R433256,R677767
R667720,R532428
R514792,R702240
R830689,R630031
R841860,R103447
R536656,R133392
R941194,R429291
R832596,R539057
R810527,R230387
R375470,R678293
R704125,R207008
R504539,R997814
R921735,R734999
R191830,R241374
R461328,R155618
R118981,R327741
R832047,R768789
R249471,R961712
R636296,R157004
R279501,R690011
R640483,R758936
R636414,R616460
R427164,R365396
R759407,R375454
R687271,R839570
R536406,R719453
R257359,R789488
R397941,R830874
R439933,R583924
R713285,R438583
R192725,R912194
R945851,R396777
R430933,R858503
R159227,R398842
R626955,R864375
R357739,R698046
R366855,R640371
R232015,R424392
R964897,R737521
R788141,R262640
R292341,R705499
R527475,R675937
R278175,R579802
R226398,R829730
R510042,R977215
R471268,R330140
R287836,R483999
R373121,R314993
R657490,R519314
R644000,R216116
R513015,R290009
R315274,R381247
R989875,R209542
R890160,R928137
R122124,R442527
R446767,R615052
R256733,R349267
R922162,R591718
R464767,R416782
R723535,R918486
R924631,R140626
R338664,R461074
R124187,R579804
R421573,R210890
R666096,R760244
R767375,R692996
R407967,R478176
R936257,R843418
R917031,R892407
R255640,R656304
R429735,R797625
R182060,R583955
R947510,R282246
R373599,R625715
R787979,R632844
R980839,R414743
R641764,R375630
R938281,R478953
R385144,R201357
R894187,R504389
R990874,R591760
R936032,R336283
R841515,R927677
R613194,R277317
R807401,R528367
R547431,R216355
R732207,R149186
R461277,R568382
R749611,R259776
R850783,R101292
R218758,R144060
R443433,R820322
R938064,R910468
R869466,R206455
R664102,R302758
R890695,R762622
R905484,R593961
R194384,R763187
R472320,R547212
R297459,R429692
R282348,R153799
R441849,R500641
R747529,R670811
R616686,R744010
R679222,R835886
R553364,R675793
R298953,R152366
R197124,R992580
R490595,R187223
R905791,R548515
R702400,R526051
R711753,R967479
R384513,R590359
R173972,R533458
R142627,R872440
R131538,R904075
R148232,R944107
R944264,R492013
R865252,R725008
R476151,R433112
R218411,R415422
R788429,R507181
R986854,R868057
R897269,R925881
R284304,R153393
R152669,R719205
R161975,R698711
R318005,R455989
R284708,R402557
R643457,R782861
R789870,R831536
R510394,R175306
R540004,R521467
R337286,R359677
R330815,R304749
R569483,R256698
R414797,R113010
R977940,R437867
R636794,R445045
R139690,R384637
R814606,R175090
R939444,R424758
R510666,R967740
R203719,R759926
R392844,R406191
R846263,R695272
R930453,R909629
R329316,R597929
R693022,R418314
R918953,R765513
R629025,R815871
R772887,R492337
R497626,R463483
R608866,R576562
R859697,R243382
R952942,R556624
R225608,R193836
R230350,R951271
R611668,R386958
R114887,R181981
R224574,R429342
R352697,R134379
R440946,R435122
R107356,R553082
R938746,R873591
R993338,R890716
R543512,R871116
R164386,R758865
R858522,R748947
R582992,R388030
R124171,R877022
R887104,R467650
R548182,R227388
R546080,R119249
R997231,R450030
R708059,R882118
R245616,R980768
R524013,R112323
R889279,R143288
R324009,R781947
R538226,R419255
R298283,R218183
R588698,R873375
R849923,R292850
R101236,R811269
R557645,R499974
R322509,R536946
R833488,R873403
R486295,R717604
R903115,R346121
R771226,R128171
R194888,R217381
R847775,R738228
R372133,R229224
R160891,R337687
R369721,R282781
R544803,R696138
R164222,R116089
R804621,R279612
R992523,R937626
R776081,R562508
R115837,R541080
R635427,R173938
R585987,R175643
R752210,R236147
R562335,R352940
R634543,R660997
R193369,R900395
R689352,R897268
R398278,R410211
R120039,R794587
R913202,R737513
R332925,R966462
R370480,R369241
R623110,R147878
R193144,R126308
R862906,R200469
R702207,R742651
R676598,R209550
R964962,R830066
R755452,R265352
R951771,R281189
R356022,R562550
R352341,R101898
R695627,R472954
R526939,R150942
R310020,R390245
R229107,R135226
R687406,R812992
R541677,R157915
R495368,R828066
R628824,R256188
R394122,R589817
R451868,R553686
R688756,R573646
R333077,R194498
R113878,R820127
R432822,R721921
R390972,R698882
R310180,R898030
R572962,R547488
R515952,R645447
R366314,R776087
R573159,R824108
R644930,R243470
R517342,R587636
R580471,R287139
R225236,R864607
R308713,R472004
R950807,R121778
R190165,R303555
R775574,R585666
R736259,R433465
R352400,R355838
R115651,R334223
R381738,R712543
R968194,R442598
R440732,R322624
R681124,R439134
R400487,R996629
R132587,R412840
R375589,R913524
R154133,R831515
R737638,R480703
R654776,R370430
R424509,R366570
R960310,R398621
R592924,R809580
R627244,R824653
R341485,R444768
R440978,R813190
R957057,R744012
R128823,R405758
R443222,R822347
R993707,R716434
R558856,R829420
R406528,R997837
R910919,R584523
R351450,R243908
R285001,R962956
R355900,R406854
R309907,R313684
R315231,R224072
R791392,R879460
R620688,R979132
R507510,R444918
R603387,R262001
R853329,R235102
R677255,R826070
R500078,R879591
R441252,R139818
R688005,R489027
R201062,R387577
R557454,R544494
R427108,R142902
R725489,R695043
R491387,R233834
R192728,R684001
R926552,R832160
R467752,R274181
R524880,R320635
R156355,R776740
R682779,R936256
R927991,R215394
R950410,R685865
R507432,R982552
R216900,R788013
R273513,R718283
R265243,R605335
R372879,R436491
R173438,R281578
R808799,R119088
R794141,R775500
R976176,R905624
R573902,R499138
R767785,R714086
R997423,R931257
R551921,R785357
R660995,R566889
R364362,R536867
R780107,R235075
R220754,R138347
R200650,R557123
R282886,R110794
R713368,R564497
R418417,R121160
R253552,R513053
R570880,R630386
R175614,R683353
R308880,R556489
R407706,R958352
R861921,R256219
R571676,R542793
R351685,R591865
R709439,R997554
R567330,R550931
R644110,R284175
R571989,R103682
R334284,R544047
R334301,R593603
R118230,R197245
R666336,R971712
R680670,R450397
R879118,R314501
R565045,R384484
R832788,R707949
R426795,R341838
R622533,R584678
R168231,R458517
R308273,R187806
R924594,R168562
R622845,R821151
R498793,R425506
R928118,R930407
R746915,R340808
R843184,R929717
R459047,R837489
R464928,R831021
R742034,R790137
R750471,R187052
R126284,R979166
R455906,R514663
R830007,R258504
R614175,R247355
R280404,R681799
R837846,R764753
R619198,R579944
R232921,R542443
R159310,R306054
R423973,R947994
R462617,R827824
R465222,R102252
R937005,R813074
R193302,R534623
R780701,R487193
R596050,R940874
R249617,R467641
R781224,R759355
R691278,R737703
R570317,R316633
R424591,R747397
R966243,R919195
R750700,R737748
R323209,R633312
R847631,R467548
R497243,R389305
R583196,R141960
R721466,R738256
R309569,R716937
R239835,R888191
R829686,R101365
R658166,R268111
R426188,R150601
R490247,R349696
R590172,R836645
R294945,R747970
R881183,R465281
R612983,R830097
R676996,R478471
R513043,R991690
R817990,R415335
R986662,R444557
R774391,R525609
R255516,R314349
R743633,R166930
R402550,R474625
R944730,R345771
R461494,R988240
R659752,R102194
R763530,R864596
R253802,R240582
R711165,R786532
R787782,R206154
R945667,R765925
R805974,R708368
R665574,R411134
R205113,R784834
R922643,R858581
R527839,R109036
R517854,R580799
R493011,R794095
R112880,R527782
R420074,R322546
R478989,R116643
R290564,R781201
R468675,R572583
R387642,R450235
R730356,R517721
R715751,R463313
R267779,R136392
R586141,R481745
R653687,R638040
R260556,R946813
R741264,R190283
R430042,R852363
R643992,R437709
R683099,R300741
R215611,R333877
R163886,R247374
R218631,R922014
R940290,R415616
R970930,R591437
R934082,R999157
R430850,R325119
R425382,R603335
R843919,R832641
R226467,R633385
R461926,R975117
R846297,R429477
R373583,R120184
R128340,R591765
R923891,R787862
R601330,R466951
R919416,R337736
R847278,R112384
R693058,R585585
R521543,R403318
R483911,R170362
R145273,R440339
R683949,R448730
R763451,R103627
R428502,R661284
R793330,R499638
R671697,R989367
R450251,R331557
R950094,R620954
R893670,R837582
R808596,R235478
R577402,R166981
R222203,R824327
R283104,R564499
R902203,R447191
R256186,R601058
R464531,R632410
R191799,R386775
R370518,R578248
R809942,R480957
R153660,R446812
R292263,R349147
R906711,R149316
R361023,R531703
R815402,R951799
R528348,R522027
R194902,R302727
R385437,R387097
R673704,R565130
R680037,R638022
R159853,R975918
R173721,R758017
R527467,R335823
R355683,R895691
R786152,R987026
R608525,R157602
R478193,R295699
R243521,R143248
R818647,R209868
R644443,R945710
R616069,R729466
R413710,R363956
R715288,R971332
R319596,R870806
R986370,R315756
R559831,R598579
R461894,R903201
R488521,R917018
R960716,R692023
R962895,R288146
R268285,R587643
R555891,R869936
R149014,R438618
R922799,R587161
R819477,R654266
R188488,R251599
R628046,R394283
R992563,R853164
R569181,R204443
R619114,R144277
R405089,R739876
R585473,R433221
R611171,R582318
R540944,R460679
R787373,R628977
R465109,R888878
R508502,R877718
R446732,R872445
R792011,R528075
R359757,R554977
R469022,R645092
R741805,R732632
R245706,R832593
R115568,R948062
R673164,R631839
R153859,R209251
R737174,R559974
R418577,R320371
R322550,R647801
R531481,R800210
R528193,R854907
R183795,R704867
R500149,R408555
R118272,R603748
R834160,R513915
R232665,R484185
R939625,R530301
R637354,R635177
R666768,R950779
R146303,R328887
R940900,R678517
R800242,R937657
R347213,R808514
R896389,R179801
R511477,R102397
R523994,R976003
R491750,R653995
R999569,R522230
R749073,R568279
R375017,R574656
R327088,R605736
R525355,R258882
R925068,R997604
R779783,R735565
R647162,R583876
R423625,R821090
R850044,R226319
R131940,R461254
R790688,R468815
R307264,R818374
R748967,R495141
R103385,R312800
R831731,R156124
R327566,R734716
R708947,R355569
R753567,R498995
R866730,R173296
R203501,R302634
R303424,R228300
R146826,R672783
R761394,R941781
R188713,R960760
R926882,R595092
R177751,R111802
R125394,R946713
R285249,R543953
R482866,R457347
R481022,R273435
R475596,R352888
R969629,R394196
R994666,R246832
R114635,R965292
R135234,R699623
R130985,R517268
R498074,R873250
R866895,R327343
R112546,R289743
R117018,R896010
R363343,R146411
R507214,R488978
R115435,R224279
R109958,R923844
R909386,R505863
R708228,R984452
R789534,R486823
R352833,R867111
R383767,R854087
R997268,R255830
R389450,R679018
R897216,R501125
R781883,R702604
R570824,R644852
R363852,R409393
R619677,R356809
R139628,R615865
R692001,R156681
R490930,R886885
R885651,R102312
R858243,R864335
R524171,R665524
R327034,R463464
R848780,R389369
R412692,R935080
R897301,R992479
R410492,R521551
R196808,R900032
R330451,R910448
R669111,R700410
R444307,R871093
R466292,R793155
R615624,R825478
R259367,R371354
R733561,R592569
R379814,R272723
R166684,R205103
R814624,R325220
R370593,R593681
R808181,R999187
R909924,R152979
R278425,R744227
R513368,R868751
R647322,R783193
R289426,R668151
R587619,R841355
R567323,R448870
R452967,R171885
R362786,R527284
R385172,R664326
R136127,R318130
R454429,R918810
R392107,R312911
R976142,R690030
R760882,R443717
R400362,R964914
R344880,R767642
R259411,R156000
R332682,R735687
R655301,R697646
R858769,R548696
R332281,R369339
R828759,R351719
R669451,R851657
R709006,R395227
R452665,R833644
R877716,R343200
R626102,R770598
R702065,R440338
R811034,R871324
R663933,R667403
R718125,R779365
R888108,R977388
R454832,R862501
R437924,R310147
R313029,R915034
R134946,R644101
R105141,R422286
R203405,R226023
R316856,R308983
R373727,R370596
R785667,R193735
R439853,R845008
R955850,R313024
R236841,R121214
R609233,R850230
R182229,R707765
R711635,R753820
R800020,R454954
R700352,R364610
R821820,R877033
R713370,R187340
R238951,R629088
R728093,R388629
R560750,R453218
R142440,R745474
R109598,R339542
R201869,R734189
R781454,R757795
R904175,R343054
R886771,R764909
R110258,R289721
R678809,R485731
R341155,R782356
R906909,R277984
R440659,R301087
R800273,R875671
R461446,R356840
R655068,R344269
R440274,R410213
R865318,R145524
R920622,R559217
R675821,R597946
R209973,R560833
R402340,R513833
R546425,R224462
R770331,R146373
R113543,R673286
R436603,R212188
R219605,R941805
R605250,R514573
R722332,R764559
R443447,R792711
R137604,R941085
R879361,R510069
R146928,R734596
R994512,R172353
R515458,R690374
R734481,R818523
R481465,R565172
R963758,R440565
R426480,R841638
R650356,R546490
R665877,R928536
R864882,R371284
R931808,R569916
R793606,R412971
R871330,R688651
R649918,R795358
R907043,R131047
R482235,R115530
R420739,R692305
R528745,R935179
R913553,R116930
R296484,R347331
R816325,R241689
R535433,R691681
R800848,R297507
R387350,R729879
R519203,R989830
R859775,R725800
R587905,R700213
R117510,R557595
R169024,R153526
R880296,R371844
R528234,R579974
R810872,R822399
R333685,R803210
R378998,R383865
R908199,R610093
R238443,R882862
R351262,R627558
R746385,R537896
R128407,R309427
R504980,R979332
R390450,R972134
R389651,R683351
R631809,R247529
R774450,R768728
R227336,R642710
R565912,R381769
R740028,R833215
R987066,R519579
R302958,R228417
R454278,R774441
R938987,R139694
R217752,R423906
R202369,R922003
R572655,R274182
R292766,R560281
R649509,R880219
R581161,R274230
R998432,R652797
R744548,R412424
R444092,R755067
R324835,R461604
R137771,R399998
R324942,R237453
R861862,R146249
R762933,R936984
R533796,R205249
R749618,R928398
R607494,R280740
R246633,R770079
R782523,R423894
R325578,R748586
R726866,R487081
R439827,R275635
R438151,R211058
R555803,R858558
R665367,R306876
R274815,R671162
R200169,R892414
R693162,R394404
R821290,R888086
R403822,R287041
R258539,R119510
R361829,R956827
R829275,R102865
R259323,R560526
R625395,R498956
R975289,R449853
R546624,R445483
R865297,R701742
R889005,R424439
R456338,R823409
R662305,R799734
R399751,R222724
R917732,R748612
R426866,R687128
R889173,R836452
R672533,R305223
R138106,R836540
R740378,R227765
R196023,R184289
R217039,R402890
R616334,R660608
R271223,R571438
R569535,R851178
R389836,R311170
R240285,R150782
R716006,R777264
R771328,R886983
R902275,R443751
R320042,R873946
R418071,R540428
R598325,R444013
R815466,R380066
R355844,R290572
R132647,R591880
R635281,R908378
R155600,R633895
R154125,R144292
R636680,R394116
R598236,R592954
R434266,R242478
R914667,R545397
R799968,R168176
R983873,R869462
R909575,R921538
R203001,R363908
R264016,R540989
R983240,R904928
R555725,R619553
R267380,R251249
R397894,R509792
R794685,R365539
R118544,R393247
R360751,R158550
R321032,R900621
R114018,R137523
R286213,R775067
R961102,R786986
R167447,R557488
R811293,R390310
R225694,R673822
R152991,R453332
R358618,R798330
R769210,R526023
R611391,R112176
R517042,R881934
R159559,R214009
R851540,R989883
R259546,R943675
R852494,R571297
R998104,R821326
R738261,R810789
R275214,R247941
R844930,R469555
R124620,R613184
R326322,R751674
R898524,R171173
R177908,R739374
R929177,R329860
R154102,R564177
R572796,R304444
R217378,R876788
R877991,R161426
R695026,R634376
R190569,R384278
R903706,R885746
R786463,R109520
R499710,R171691
R145300,R209142
R455904,R687543
R776274,R807896
R141121,R164979
R406459,R326092
R328466,R923271
R270976,R665631
R615738,R439061
R474369,R552305
R960043,R730542
R864393,R822091
R251120,R646765
R465771,R967104
R643559,R429028
R601344,R669502
R474757,R511869
R395312,R218970
R697659,R882508
R765714,R387817
R617202,R984899
R577608,R117414
R574022,R206140
R779755,R759009
R370287,R351056
R123432,R181950
R476162,R435196
R818307,R902371
R370160,R100967
R373581,R124122
R250284,R276184
R106994,R285554
R209937,R999237
R428689,R274751
R660619,R165776
R874401,R956871
R190908,R756902
R461949,R899047
R404088,R586375
R621884,R708016
R813115,R838521
R794678,R609011
R812929,R738619
R795732,R820811
R302175,R111543
R462492,R195603
R315558,R842961
R115454,R416933
R389472,R405316
R704910,R685544
R484595,R423622
R203597,R697942
R346686,R459615
R987839,R741663
R510642,R190096
R910192,R975695
R240090,R751616
R141343,R238876
R245618,R114906
R357754,R889172
R550404,R155484
R238066,R475873
R339472,R520555
R325498,R973217
R885393,R482211
R845769,R670046
R720442,R656693
R866470,R852903
R567689,R466811
R637367,R861413
R989985,R792394
R588732,R400072
R842203,R770873
R459250,R478956
R354157,R398519
R766326,R678264
R234400,R697763
R756677,R558018
R771562,R503405
R796500,R166563
R393214,R416403
R679909,R291660
R872381,R333168
R814846,R816992
R449334,R219397
R724179,R181823
R344796,R745014
R382664,R665368
R786656,R567307
R940894,R319430
R471858,R180453
R810903,R351701
R806183,R817349
R852838,R123951
R525349,R521783
R714377,R321561
R628879,R720059
R602781,R870318
R823988,R979791
R521523,R627087
R861627,R737501
R515944,R126173
R175349,R912687
R877202,R465638
R117528,R397761
R796776,R907634
R871788,R742909
R723541,R554505
R762736,R914483
R892969,R521234
R617786,R513490
R416715,R250275
R857632,R627350
R315936,R158237
R750126,R355547
R920013,R423386
R540995,R172127
R281549,R618728
R915089,R787276
R275195,R724673
R839980,R460765
R544368,R984312
R701299,R564596
R690215,R844898
R434695,R724908
R726047,R449979
R158183,R996902
R807955,R638455
R239378,R453862
R153874,R222680
R504413,R957526
R562622,R724954
R170372,R976549
R432067,R656453
R125370,R652255
R581305,R480423
R612027,R604433
R860014,R261696
R625959,R706364
R533562,R645823
R604811,R211547
R546084,R502726
R417900,R740430
R155122,R821204
R197940,R363476
R181894,R688573
R986410,R643639
R954543,R270983
R319575,R667873
R999183,R908380
R959280,R509603
R491611,R716590
R310053,R434225
R261969,R768713
R464529,R983627
R756264,R248026
R206220,R252976
R370270,R966762
R941757,R744876
R853255,R824692
R832640,R723631
R513292,R492822
R730716,R911270
R333501,R712864
R346119,R964877
R402397,R530982
R693062,R894714
R168585,R591780
R725804,R917636
R299769,R449419
R293452,R692447
R757687,R867919
R411271,R376663
R375887,R958852
R780331,R416772
R780765,R982525
R648127,R220900
R885038,R579989
R840030,R830037
R572296,R349557
R933988,R643869
R337297,R350587
R682369,R843337
R229103,R876225
R458598,R849263
R404399,R758185
R958021,R504757
R211385,R768248
R478250,R937491
R221405,R166729
R539489,R566769
R639289,R684142
R787028,R394681
R246912,R876403
R629615,R553110
R228176,R671770
R408579,R411572
R381191,R785708
R556652,R831444
R496479,R163201
R895728,R136839
R120562,R429401
R693042,R149233
R243816,R402953
R408444,R102034
R212945,R117213
R755525,R418654
R409657,R537210
R745896,R556479
R638184,R706199
R957487,R379371
R991725,R634301
R213282,R959584
R671145,R963005
R506125,R606655
R279654,R103231
R374724,R583697
R421859,R631356
R433152,R109917
R770719,R835352
R812057,R319057
R476371,R152960
R667811,R497886
R441989,R318969
R589232,R666163
R738773,R251386
R943061,R294684
R270216,R223056
R612834,R438230
R494139,R500537
R785926,R161088
R400885,R231679
R585010,R987557
R150892,R133281
R227923,R543593
R848684,R143383
R488159,R970531
R269412,R821578
R710725,R483774
R461121,R712583
R574063,R107692
R996711,R846662
R773693,R322021
R110647,R869861
R393758,R944207
R920855,R735816
R934209,R144045
R374955,R622967
R747282,R138938
R294457,R960078
R836895,R639712
R962882,R765205
R331351,R679833
R952666,R117219
R533228,R137388
R378783,R408793
R677228,R318798
R631375,R310616
R350378,R187771
R796272,R578600
R166122,R131901
R795903,R467871
R349795,R150780
R843875,R875068
R695318,R273260
R225560,R632269
R565366,R491415
R568898,R524915
R465913,R376738
R863979,R389935
R260571,R815694
R714229,R977586
R941348,R625748
R761133,R878214
R392039,R216007
R166386,R448526
R569253,R343636
R828941,R279419
R616818,R169187
R511075,R394559
R528994,R957971
R724504,R782669
R140752,R348378
R845741,R175579
R445482,R484392
R196446,R506808
R825642,R784798
R869619,R732920
R615122,R149776
R414192,R747006
R699910,R550032
R778254,R844803
R652433,R778490
R504550,R438950
R666960,R974238
R452481,R341975
R327042,R135937
R242134,R165808
R302223,R551059
R541669,R493649
R173030,R774714
R686145,R280547
R780231,R854652
R845139,R496347
R459622,R894753
R403910,R740955
R991157,R471351
R121084,R817083
R503707,R333731
R562689,R377487
R849416,R120905
R867226,R980636
R648936,R110494
R945061,R114757
R625780,R525201
R700073,R846742
R251806,R560051
R371116,R113347
R879872,R868967
R921090,R813219
R615238,R557541
R896396,R790984
R765985,R230359
R372794,R677724
R809252,R235349
R730934,R625087
R320094,R836590
R461387,R601524
R142148,R516237
R711873,R109629
R418111,R178276
R627732,R893080
R838816,R299216
R504885,R802036
R732904,R562590
R496420,R950693
R909061,R764725
R810157,R311133
R336265,R847423
R656463,R621682
R663032,R913763
R145703,R194478
R256373,R469927
R649223,R411772
R358310,R982656
R106054,R788298
R750929,R961170
R772124,R668611
R110522,R142067
R608051,R215295
R944395,R885985
R193073,R950350
R961164,R581876
R177025,R443232
R114620,R560551
R436171,R542629
R221395,R610789
R867510,R491272
R960762,R255090
R484490,R492059
R675117,R680152
R506875,R261133
R229311,R360171
R263282,R334347
R386783,R768956
R750301,R842026
R576239,R128164
R702169,R422760
R697269,R499506
R695728,R117011
R410802,R196269
R425156,R333694
R373166,R380472
R642205,R818559
R489725,R899095
R103846,R415923
R724978,R508327
R947470,R884612
R581474,R131797
R728629,R924882
R645618,R506513
R643079,R244154
R813561,R117412
R404507,R440137
R954537,R776428
R208672,R549833
R766599,R199173
R400686,R523982
R782263,R815298
R848526,R793272
R140529,R285633
R588186,R943327
R105384,R704012
R457982,R235864
R464374,R270741
R794211,R200326
R704583,R931214
R239029,R295225
R143306,R208371
R570700,R945288
R387963,R131599
R880389,R245061
R528977,R832156
R663903,R646273
R274948,R324084
R717457,R823950
R361692,R471540
R656772,R411078
R840625,R613466
R595566,R852574
R717789,R691818
R721672,R617877
R606857,R879157
R591294,R966068
R542098,R961011
R833068,R478067
R127890,R257594
R220848,R867082
R874068,R831788
R566021,R300430
R845995,R486093
R400748,R610269
R963271,R362082
R223755,R152938
R114606,R776595
R789191,R735140
R714366,R657526
R788963,R584696
R679804,R824503
R126627,R188809
R514186,R371018
R807249,R698188
R872423,R572457
R682843,R333755
R509383,R926974
R484917,R633954
R982579,R377619
R234986,R923696
R395983,R107177
R411352,R450402
R920617,R822439
R567548,R800334
R118840,R310328
R890172,R163568
R653231,R455528
R860753,R998956
R508957,R861253
R430876,R812327
R181351,R843760
R817872,R624394
R263213,R463471
R324715,R407395
R208774,R930497
R681418,R991517
R580789,R298400
R587002,R123074
R928199,R565467
R722537,R371389
R795992,R429736
R408070,R818778
R959528,R288061
R243067,R531238
R230982,R728632
R972364,R937107
R133530,R319538
R545257,R373534
R450571,R511759
R838385,R561078
R304733,R602000
R151499,R953800
R693228,R397432
R679530,R274330
R397695,R449284
R890658,R552261
R812597,R426847
R689177,R313471
R794282,R994353
R895278,R217917
R837577,R518533
R187233,R363980
R819099,R412824
R794345,R150381
R580957,R460078
R358076,R481437
R253904,R738007
R700005,R691091
R615475,R722989
R438270,R882419
R270111,R978545
R377157,R207607
R766257,R496676
R671446,R983171
R123584,R783199
R778175,R316854
R522246,R900498
R571376,R991089
R498547,R801195
R842396,R385682
R665651,R363193
R126967,R240299
R160727,R517086
R273576,R446373
R832017,R548401
R431746,R114317
R954007,R104290
R283721,R162617
R342838,R497399
R361069,R789637
R944882,R263001
R784972,R613046
R284083,R767170
R579605,R439993
R716207,R685797
R432378,R746928
R243460,R828980
R908999,R988218
R481786,R238310
R598709,R560884
R698048,R773473
R198576,R856944
R701999,R642010
R720304,R504020
R215857,R374138
R312386,R605355
R527339,R423437
R196439,R134583
R972036,R143710
R544671,R617387
R320059,R549487
R238926,R746823
R419943,R150655
R707554,R823382
R413209,R931189
R959391,R517880
R549998,R454977
R921340,R346086
R362433,R323230
R735797,R366044
R255842,R804354
R650180,R262173
R797650,R866441
R123665,R385600
R193874,R685188
R739676,R343065
R911139,R857399
R749205,R604591
R470981,R613248
R508137,R904985
R917635,R460530
R328071,R128901
R753638,R312820
R956673,R146796
R836558,R891591
R418690,R456653
R986075,R254268
R677687,R666819
R642515,R494586
R375524,R878792
R192180,R965696
R792773,R618231
R278773,R780153
R266907,R354715
R620907,R658804
R131352,R992964
R112981,R431622
R388803,R201809
R584580,R545730
R699219,R576217
R317015,R378905
R572098,R490245
R850381,R552145
R266119,R498079
R806409,R996346
R909362,R305766
R315378,R820426
R975520,R454790
R502141,R163674
R190942,R392281
R258713,R281591
R164023,R472253
R575386,R463918
R761108,R650430
R101053,R772422
R923835,R296977
R324271,R744968
R713995,R339603
R388265,R467351
R758749,R959500
R489181,R305657
R734811,R186404
R497377,R623947
R577695,R359308
R601435,R149580
R365883,R422742
R624500,R182083
R257572,R206681
R387235,R247563
R812438,R883291
R724457,R634461
R513111,R491896
R125441,R663868
R609516,R270560
R803440,R911406
R644256,R367809
R482947,R740345
R794929,R716574
R907248,R895353
R880066,R940034
R252690,R581010
R303749,R353694
R336787,R827342
R815860,R457532
R774616,R870339
R716892,R654534
R189136,R751905
R295702,R615041
R271981,R150242
R192755,R192530
R603626,R390773
R972845,R812581
R885681,R108750
R500752,R636452
R549219,R973996
R347271,R208067
R906370,R192365
R712858,R257258
R769075,R723044
R471709,R966892
R757345,R978793
R918667,R897463
R442573,R601183
R265163,R663119
R613384,R630062
R583102,R584347
R685424,R521192
R149550,R699031
R311597,R281175
R567778,R179787
R785418,R655724
R882248,R894595
R908535,R480683
R146462,R595977
R224346,R554527
R811266,R637887
R342874,R188982
R387991,R934775
R385290,R450858
R168754,R957673
R894247,R343536
R442178,R716115
R645099,R990776
R875781,R691425
R110998,R255737
R894510,R467612
R658326,R370264
R494986,R199375
R607875,R635983
R394554,R293746
R700133,R603568
R972202,R536126
R422142,R875585
R987915,R422751
R578509,R105516
R954961,R803095
R292104,R854903
R701715,R121020
R323333,R374266
R285693,R114155
R265053,R596377
R418891,R408635
R623505,R629474
R311578,R306883
R624164,R475423
R590207,R217424
R113707,R280527
R794225,R104837
R964569,R955131
R161218,R909535
R593296,R469362
R418434,R763709
R486780,R433296
R763515,R496460
R634508,R712340
R615173,R192106
R382675,R263658
R898755,R118801
R754665,R921091
R410319,R971383
R471269,R563370
R418583,R541157
R656804,R882052
R393328,R892475
R886641,R718504
R760402,R437051
R785167,R630124
R898958,R578751
R774007,R708123
R572167,R136661
R219233,R988458
R498469,R532547
R612909,R370455
R322374,R965918
R384751,R629522
R132962,R648408
R174039,R666044
R224354,R382629
R742259,R711630
R314139,R595695
R570604,R503878
R921699,R353611
R274213,R243146
R653039,R699091
R249456,R361321
R854848,R739659
R347096,R251507
R930081,R914535
R733090,R732887
R271042,R618704
R106445,R395100
R799724,R474519
R641866,R618141
R889902,R545947
R404571,R857918
R327558,R784793
R192482,R428474
R673677,R663396
R992884,R161265
R933714,R680008
R583061,R983089
R411904,R460727
R477338,R789621
R339201,R413106
R656202,R506622
